,n_fires,ret_pct
2023-03-06,6.0,0.6655523618366965
2023-03-08,5.0,0.24250512391459367
2023-03-09,4.0,-0.9282249899975281
2023-03-10,2.0,-1.0045664635585094
2023-03-15,1.0,-0.41746837386849034
2023-03-16,1.0,0.07924286811309411
2023-03-17,1.0,0.6738129621978839
2023-03-23,1.0,-0.43726933046436267
2023-03-29,2.0,0.7609856589321451
2023-03-31,4.0,1.6337198944623932
2023-04-03,4.0,0.2206297973761151
2023-04-05,3.0,0.9138954817361267
2023-04-06,3.0,0.23978747854371818
2023-04-10,5.0,0.14148632219350699
2023-04-11,5.0,0.5574768321964241
2023-04-12,4.0,0.5083967961446945
2023-04-13,5.0,0.08757724412713497
2023-04-17,9.0,-0.6795512150830185
2023-04-18,10.0,-0.26373533282438855
2023-04-19,3.0,-0.2344283016240789
2023-04-21,2.0,-0.002260708945023282
2023-04-24,4.0,0.6771973756565242
2023-04-25,9.0,0.14568576938982503
2023-04-26,4.0,0.24958627615121465
2023-04-27,12.0,0.5695152810193838
2023-04-28,25.0,0.8370013603697934
2023-05-02,30.0,0.4575166931912511
2023-05-03,15.0,-0.318502836487633
2023-05-04,18.0,0.9173717607303677
2023-05-05,19.0,-1.0232406865540389
2023-05-08,23.0,1.0814123118324304
2023-05-09,22.0,0.00848003817193188
2023-05-10,13.0,0.26908205008338015
2023-05-11,19.0,-0.09882342854272697
2023-05-12,15.0,0.09728797753729701
2023-05-15,17.0,0.45891205221868514
2023-05-16,14.0,-0.6106338807060685
2023-05-17,8.0,-0.5728269488420423
2023-05-18,10.0,-0.2849053652701161
2023-05-19,8.0,0.40513721791914925
2023-05-22,19.0,0.6097761825706316
2023-05-23,19.0,0.1834600568861644
2023-05-24,11.0,-0.34117947119577385
2023-05-25,15.0,0.19551116867164708
2023-05-26,22.0,0.9726420827874671
2023-05-29,32.0,0.5367798508963517
2023-05-30,13.0,0.18925684396833287
2023-05-31,22.0,-0.533701950132548
2023-06-01,21.0,-0.25169624936233204
2023-06-02,20.0,0.2507044360454902
2023-06-05,17.0,0.3223787573137793
2023-06-06,15.0,0.027699431442118616
2023-06-07,26.0,0.6849851638528914
2023-06-08,17.0,-0.49048192636628185
2023-06-09,16.0,-0.381819725413457
2023-06-12,11.0,0.20524046550352004
2023-06-13,25.0,0.6163502439319402
2023-06-14,18.0,0.21238341844009856
2023-06-15,26.0,-0.36149041015322014
2023-06-16,35.0,0.7379048352023077
2023-06-19,33.0,-0.37475183921172883
2023-06-20,20.0,0.3265717567498605
2023-06-21,26.0,0.21337637466720683
2023-06-22,4.0,-0.4539443817404343
2023-06-23,3.0,-0.5633615236065759
2023-06-26,4.0,0.13768299134766515
2023-06-27,9.0,0.675190341711196
2023-06-28,15.0,0.822107281232487
2023-06-30,26.0,1.143527476356887
2023-07-03,22.0,0.695709243369369
2023-07-04,15.0,0.3438946519135566
2023-07-05,22.0,0.04899685388621844
2023-07-06,26.0,0.509321758125636
2023-07-07,14.0,-0.848835445771845
2023-07-10,13.0,0.12466303397029588
2023-07-11,19.0,0.43139300324381846
2023-07-12,17.0,-0.2834429471475497
2023-07-13,20.0,0.1519230385574888
2023-07-14,16.0,0.7765114931427508
2023-07-17,16.0,0.7511013251041421
2023-07-18,8.0,0.1917706853032497
2023-07-19,11.0,0.4248282371482448
2023-07-20,20.0,0.7361412439498949
2023-07-21,18.0,-1.1719737128305097
2023-07-24,22.0,-0.3679432292985618
2023-07-25,17.0,0.04193703428323481
2023-07-26,18.0,0.4964339187534694
2023-07-27,23.0,-0.598637830087223
2023-07-28,12.0,-0.07044597937843067
2023-07-31,28.0,0.5484562836559181
2023-08-01,21.0,-0.10251191770254131
2023-08-02,9.0,-1.0489749274959825
2023-08-03,11.0,-0.7420685416911321
2023-08-04,15.0,0.6983389270114548
2023-08-07,21.0,0.41144018676027017
2023-08-08,16.0,-0.13497354646058168
2023-08-09,15.0,0.3152707884763739
2023-08-10,18.0,-0.4556268458015711
2023-08-11,16.0,-0.5874136161590715
2023-08-14,5.0,0.032169565781225984
2023-08-16,15.0,0.15667570139761278
2023-08-17,15.0,-0.5124582584125403
2023-08-18,15.0,-0.28452826260957353
2023-08-21,7.0,0.43215209131937105
2023-08-22,19.0,0.014693555773015454
2023-08-23,21.0,0.24515199000461063
2023-08-24,22.0,-0.2946964680621278
2023-08-25,10.0,-0.6236153774081932
2023-08-28,7.0,0.2089194238900971
2023-08-29,14.0,0.18957584743610756
2023-08-30,20.0,0.02480956863764039
2023-08-31,23.0,-0.4840350603388277
2023-09-01,37.0,0.9426710188917609
2023-09-04,41.0,0.48108337016425917
2023-09-05,31.0,0.23605960187407238
2023-09-06,21.0,0.18467726478093027
2023-09-07,18.0,0.5915032360780392
2023-09-08,38.0,0.47091903665750223
2023-09-11,46.0,0.8900143420050854
2023-09-12,15.0,-0.01575482868895195
2023-09-13,10.0,0.3841345269944396
2023-09-14,25.0,0.1649208239910216
2023-09-15,28.0,0.44396138771742866
2023-09-18,21.0,-0.2924316846098174
2023-09-20,8.0,-1.1518249945432046
2023-09-21,2.0,-0.7991939166498319
2023-09-22,2.0,-0.3449417659114995
2023-09-25,8.0,0.0015288066889551644
