ticker,date,group,ema34_rising10,fresh,swing_pnl,day1_pnl
BHARATFORG,2022-11-07,Common,10.0,False,-3.139426592903005,-0.012496311766563295
BHARATFORG,2022-11-09,Common,10.0,False,-2.5218149195222916,0.0014701119970483845
BHARATFORG,2022-11-11,Common,10.0,False,-4.416120274243241,-0.6093129856336255
BHARATFORG,2022-12-14,Common,10.0,False,-5.047931076325673,0.39602161983185447
BHARATFORG,2022-12-15,Common,10.0,True,-3.9162024993548927,-2.4635330482603357
BHARATFORG,2023-08-09,Common,10.0,False,6.7560020746664895,3.500404054278161
BHARATFORG,2023-08-21,Common,10.0,False,12.826811663277415,0.16516176544514316
BHARATFORG,2023-08-22,Common,10.0,False,7.868810657444136,1.5601905987504772
BHARATFORG,2023-08-23,Common,10.0,False,6.3806720486851765,2.139617130865057
BHARATFORG,2023-08-24,Common,10.0,False,5.676991727353853,-0.6357785312476549
BHARATFORG,2023-08-29,Common,10.0,False,6.808875004286641,1.0277859776982368
BHARATFORG,2023-09-04,Common,10.0,False,4.422618454662919,-0.12470152948915736
BHARATFORG,2023-09-06,Common,10.0,False,2.6655412549666746,0.004778424907669887
BHARATFORG,2023-09-11,Common,10.0,False,1.515983309101232,-0.04112225329355734
BHARATFORG,2023-09-15,Common,10.0,False,-1.4436766537013535,1.7235252309879323
BHARATFORG,2023-11-23,Delta,7.0,True,4.770455158687215,-0.7104030662160143
BHARATFORG,2023-11-24,Delta,8.0,True,3.9517857865146055,0.8013187155348156
BHARATFORG,2023-11-30,Common,10.0,True,5.8256000592514345,0.21195271414762296
BHARATFORG,2023-12-01,Common,10.0,False,5.230049041142459,3.3517241513014717
BHARATFORG,2023-12-04,Common,10.0,False,2.055376896001393,-0.4504702538098204
BHARATFORG,2023-12-05,Common,10.0,False,0.9834311410516383,-0.573677316486676
BHARATFORG,2023-12-11,Common,10.0,False,2.9424320438415696,0.6813019020246003
BHARATFORG,2023-12-12,Common,10.0,False,1.6947707254543865,-1.1357167657650824
BHARATFORG,2023-12-19,Common,10.0,False,0.4232764328274019,0.42737282428748635
BHARATFORG,2023-12-27,Common,10.0,False,1.9940985178275472,-1.019289825011116
BHARATFORG,2023-12-28,Common,10.0,False,1.2940986491141393,0.024704896992644443
BHARATFORG,2024-01-01,Common,10.0,False,0.37022059883433656,-0.04374868910594909
BHARATFORG,2024-01-09,Common,10.0,False,-4.145970320996795,-0.2480391318450792
BHARATFORG,2024-04-18,Delta,7.0,True,2.2125439613470688,-1.3004894644930043
BHARATFORG,2024-04-22,Delta,8.0,True,1.5976226939953264,0.7662182529642791
BHARATFORG,2024-04-24,Common,9.0,False,15.074833602691285,1.6112851380955417
BHARATFORG,2024-04-25,Common,10.0,False,13.579141208180268,6.5347511023275295
BHARATFORG,2024-05-08,Common,10.0,False,18.074784448796755,5.880852149508886
BHARATFORG,2024-05-16,Common,10.0,False,1.368498254536843,0.48779267958780625
BHARATFORG,2024-05-21,Common,10.0,False,4.916678319520074,0.5493173853424071
BHARATFORG,2024-05-24,Common,10.0,False,13.091520084128572,4.701686036448183
BHARATFORG,2024-05-28,Common,10.0,False,0.5813171727784727,-2.7489829294758072
